id,title,completed
21,suscipit repellat esse quibusdam voluptatem incidunt,False
22,distinctio vitae autem nihil ut molestias quo,True
23,et itaque necessitatibus maxime molestiae qui quas velit,False
24,adipisci non ad dicta qui amet quaerat doloribus ea,False
25,voluptas quo tenetur perspiciatis explicabo natus,True
26,aliquam aut quasi,True
27,veritatis pariatur delectus,True
28,nesciunt totam sit blanditiis sit,False
29,laborum aut in quam,False
30,nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,True
31,repudiandae totam in est sint facere fuga,False
32,earum doloribus ea doloremque quis,False
33,sint sit aut vero,False
34,porro aut necessitatibus eaque distinctio,False
35,repellendus veritatis molestias dicta incidunt,True
36,excepturi deleniti adipisci voluptatem et neque optio illum ad,True
37,sunt cum tempora,False
38,totam quia non,False
39,doloremque quibusdam asperiores libero corrupti illum qui omnis,False
40,totam atque quo nesciunt,True
