id,title,completed
1,delectus aut autem,False
2,quis ut nam facilis et officia qui,False
3,fugiat veniam minus,False
4,et porro tempora,True
5,laboriosam mollitia et enim quasi adipisci quia provident illum,False
6,qui ullam ratione quibusdam voluptatem quia omnis,False
7,illo expedita consequatur quia in,False
8,quo adipisci enim quam ut ab,True
9,molestiae perspiciatis ipsa,False
10,illo est ratione doloremque quia maiores aut,True
11,vero rerum temporibus dolor,True
12,ipsa repellendus fugit nisi,True
13,et doloremque nulla,False
14,repellendus sunt dolores architecto voluptatum,True
15,ab voluptatum amet voluptas,True
16,accusamus eos facilis sint et aut voluptatem,True
17,quo laboriosam deleniti aut qui,True
18,dolorum est consequatur ea mollitia in culpa,False
19,molestiae ipsa aut voluptatibus pariatur dolor nihil,True
20,ullam nobis libero sapiente ad optio sint,True
